,AAPL,MSFT,GOOGL,AMZN,META,TSLA,JPM,GS,XOM,JNJ
2020-01-02,-0.5667371615573542,-0.3738874678867937,-0.6312761499097301,1.2704062313883138,1.1883967415679462,0.7751899063183975,0.14550611037846817,0.09140957347892516,-0.3609405989799358,0.3623263885870293
2020-01-03,-0.45016454657014,1.3716899859012688,0.37450163497037453,0.43181059052703824,-0.7836787902198369,0.0002849080310467034,-0.1502106391466909,-0.947956504856334,0.4351790068719824,-0.5282951579628167
2020-01-04,-1.2208144239574992,0.6615167007898737,-1.5478078489037173,-0.33252453309277485,0.2569718099599077,1.3944176985923418,0.1641378932968779,-1.0397554327605445,-0.1728731218523708,-0.40868693524535615
2020-01-05,1.1081180680504252,-0.49913693490902244,0.7789681406673781,0.5918603364070403,1.1024592177099906,1.7565955373803848,1.7075535344312178,0.3515320677121186,2.389578778452201,1.9867523447320725
2020-01-06,-0.21495595308953588,0.227636415632463,-0.5428992147775797,1.378667674228379,0.06212594150027285,-0.4030208663230121,-0.5882371110349254,-0.3234505664314666,1.183591843622424,0.2735895890068106
2020-01-07,-0.8546150865715203,-1.4132925407078216,0.3178500643695691,0.5775776748574706,0.8318430167382126,0.2386590787986192,-0.5799116813093167,0.4297459040278665,0.40778272591866893,-1.2333221911592687
2020-01-08,1.291725637205877,1.287123117687306,1.3208023446742303,0.8350367147182759,1.1287665421806112,1.0782435681571683,2.144121546393889,1.133024549718085,2.1698094949344497,1.7630886071001373
2020-01-09,1.1152366256291608,-0.22538217438197777,-0.42641152656591363,0.20406118272666296,-0.38402185730228455,-0.11482706072849977,1.003418808287708,1.8355908312653975,0.5773405124712049,1.2567509230539013
2020-01-10,-1.7297139146243576,-0.38201766314189356,-1.0971531142332651,-0.0912316344313828,1.6388933513506019,0.7386436358774249,-1.745802537675783,-1.1637090398356074,0.48374484410728824,-0.16865044517270303
2020-01-11,-0.2485578205925841,1.3741757410228004,0.601099209903475,-0.2140602607356737,0.4354751632618058,0.400357146646272,0.0336172706898479,1.115243735865944,1.4493802963713698,1.471259433057349
2020-01-12,-1.0704154331455167,-1.4151655806059624,-0.4016899299514404,-2.0467259167788403,-0.3503461022536995,1.2859629188750865,-1.434617591929913,-0.27602499810525455,0.11673050373162791,-0.08269879594897044
2020-01-13,-1.0511059126732103,-1.336053776229705,-0.7828237362916205,1.6116970335029286,0.6178243808812971,-1.698853272195086,-0.8519051660758018,0.31678048630849154,-0.4422800059034855,-1.27594669472111
2020-01-14,0.5331832936966208,-0.705117140949527,-0.1364742720656143,0.37517584896008355,0.29872033000534964,-0.24077041413765404,-1.8755815702570677,-0.2829742892808338,-0.957644521168129,0.5897246276019408
2020-01-15,-1.0922232301029333,0.3420007370116423,-0.975502535459238,-0.5941155998066091,-0.5127025546196206,-1.2436664610157333,-1.1859188931984193,-0.2318698951021903,-1.3162185647147342,-1.268521467555756
2020-01-16,-1.396348105366705,-2.0962988698806604,-1.7120481191641825,-0.7866458731569583,1.3191564468867327,-0.13756531296947808,-1.8436652841120733,-0.8695832606424484,-0.10813432501036288,-1.5408409795346572
2020-01-17,-1.9818839026100108,-2.540083160336083,-0.48545673585232024,-0.9126938493874885,-0.4851154183797523,-0.024901082637562074,-0.3041683606202202,-0.9223277150854919,0.49038035901253585,0.01057550950255423
2020-01-18,0.08307936712894035,-0.5853842149487464,0.8247871247898242,-0.6798852115312478,-0.7131375981204622,-0.4432646255139856,-1.5653709291046862,-0.5999959165439344,-0.2793666187995069,-1.9080975913984928
2020-01-19,-0.7775668393633297,0.6226648528273209,-0.7852605347453687,-1.3033786205261495,0.2634572648325239,-0.6033716287097902,0.29005699119063905,0.02174402688378602,-0.31872510647430985,0.8925240676308531
2020-01-20,-0.3858163258229836,0.7353354160121476,-2.047226022311415,1.600646593152487,0.5161004909559005,-1.445959703378635,-0.7860288189462962,-0.1191944043025737,-2.322241488075722,-1.2696303676592084
2020-01-21,-0.5881855772448022,-0.8896516529777054,-0.500615038448119,-1.7466511429367524,-1.930963304872756,-0.6539938735350812,0.04341763865290773,-1.9028860646264163,-1.1581552847129484,-1.6619041533694485
2020-01-22,1.871747387971705,0.06827128243220137,0.661100963147842,-0.17704358917964777,-1.0054109272264637,0.045302578798170796,1.793152307028604,0.8523430732705819,0.7085850662643948,1.0557006429088904
2020-01-23,-1.1082220512803105,0.9672626874246804,-0.3897528148094606,-0.5253279315457874,-0.5837989574734447,-0.5535754617482952,0.40463423464475706,0.23348238628605733,-0.4527402825484646,0.1088443590716982
2020-01-24,-2.449875372255367,-1.5103206266326439,-0.49641715127530506,1.2078681125373603,-1.3534221840923986,0.418942377373114,-0.14764167447295914,0.08682198423892898,0.5681450989850412,0.17903459351791473
2020-01-25,-0.8997927146907182,-1.0909018143252487,-1.25310110463675,-0.5510066691146811,-1.0427367869868627,-1.511810840512205,0.23115752985365184,0.21235071742560965,1.1090059966435915,-1.387038522260308
2020-01-26,0.9569380904908469,-0.26843739118315735,0.767265449878281,-1.2775759169099614,0.16053607835219483,0.8312033832280605,-1.4491229572254551,0.2827082511602667,0.029195514370006104,-0.6068762845251302
2020-01-27,1.036965620772877,0.34964600590190764,0.6855710378889626,1.2148559861444626,-0.7066680020743579,1.041690990072203,-0.8458242226329273,0.06283611184209445,-0.034973330670601724,-0.6417844495680965
